id,city,local,trashbury,trashfire,trashrec
183,전라남도,영광군,0.4,36.2,2.5
184,전라남도,장성군,6.2,15,3.5
185,전라남도,완도군,8.5,33,10.5
186,전라남도,진도군,0.3,19.2,6.6
187,전라남도,신안군,5.2,21.1,13.5
188,경상북도,포항시,300.9,0,45.8
189,경상북도,경주시,15.7,107.1,144.1
190,경상북도,김천시,8.6,51.4,23.2
191,경상북도,안동시,96.4,4.5,174.6
192,경상북도,구미시,10.1,180.4,163.5
193,경상북도,영주시,85.3,0,1.4
194,경상북도,영천시,1,0,18.7
195,경상북도,상주시,9.6,44.5,24.8
196,경상북도,문경시,28.8,43.2,31.3
197,경상북도,경산시,36.6,58.9,6.1
198,경상북도,군위군,8.3,0,4.6
199,경상북도,의성군,14.3,10.2,10.4
200,경상북도,청송군,2.8,14.8,9.5
201,경상북도,영양군,9.5,1.2,2.8
202,경상북도,영덕군,10.9,27.1,7.2
203,경상북도,청도군,3.3,5.8,8.3
204,경상북도,고령군,1.8,16.3,5.6
205,경상북도,성주군,4.6,15.2,17.8
206,경상북도,칠곡군,2.6,31.2,4.5
207,경상북도,예천군,2.1,0,1.7
208,경상북도,봉화군,32.7,1.3,24.8
209,경상북도,울진군,8.9,17.7,23.4
210,경상북도,울릉군,8.2,3.5,0.6
211,경상남도,창원시,87.8,450.5,407.5
212,경상남도,진주시,165.5,0,141
213,경상남도,통영시,42.9,92.3,29.8
214,경상남도,사천시,64.2,39.1,58.5
215,경상남도,김해시,23.7,161.9,160.7
216,경상남도,밀양시,8.1,41.2,16
217,경상남도,거제시,3,105.7,86.9
218,경상남도,양산시,59.3,68.7,77.8
219,경상남도,의령군,2.4,0.3,13.1
220,경상남도,함안군,0.9,34.5,5.8
221,경상남도,창녕군,5.5,16.9,13.8
222,경상남도,고성군,0.8,16.8,11.8
223,경상남도,남해군,8.8,0,22.4
224,경상남도,하동군,21.4,11.2,6.4
225,경상남도,산청군,11.6,9.8,2.9
226,경상남도,함양군,10.1,15.2,7.4
227,경상남도,거창군,10.5,32.1,3.6
228,경상남도,합천군,10.8,11.2,12
229,제주특별자치도,제주시,204,164.4,152.3
230,제주특별자치도,서귀포시,74.6,62.1,70.4
