국적?지역,성별,성별합계,0-4세,5-9세,10-14세,15-19세,20-24세,25-29세,30-34세,35-39세,40-44세,45-49세,50-54세,55-59세,60세이상
세르비아몬테네그로,M,1,0,0,0,0,0,0,0,1,0,0,0,0,0
오세아니아주계,M,"3,583",425,274,241,355,450,381,311,241,211,194,175,121,204
오세아니아주계,F,"3,610",429,310,233,442,427,265,228,193,289,284,223,134,153
오스트레일리아,M,"2,745",332,228,183,257,308,281,238,203,185,149,128,90,163
오스트레일리아,F,"2,766",331,268,170,309,306,205,173,167,242,224,151,95,125
뉴질랜드,M,792,90,43,58,97,142,98,66,33,19,36,44,29,37
뉴질랜드,F,801,98,42,61,131,116,56,47,23,42,57,68,35,25
피지,M,9,0,0,0,1,0,1,1,2,0,2,0,0,2
피지,F,13,0,0,0,1,3,0,2,0,1,2,1,0,3
파푸아뉴기니,M,10,1,2,0,0,0,0,0,1,1,3,1,1,0
파푸아뉴기니,F,5,0,0,0,1,0,1,1,0,1,0,1,0,0
마샬군도,M,8,0,0,0,0,0,0,1,1,3,3,0,0,0
마샬군도,F,5,0,0,1,0,0,0,0,0,1,0,1,2,0
팔라우,M,2,1,0,0,0,0,0,1,0,0,0,0,0,0
팔라우,F,8,0,0,1,0,1,0,4,0,0,1,0,1,0
미이크로네시아,M,3,1,1,0,0,0,0,0,0,1,0,0,0,0
미이크로네시아,F,6,0,0,0,0,1,1,0,3,0,0,1,0,0
통가,M,5,0,0,0,0,0,1,2,0,0,0,1,1,0
통가,F,3,0,0,0,0,0,1,1,0,0,0,0,1,0
사모아,M,4,0,0,0,0,0,0,1,0,0,1,1,0,1
사모아,F,1,0,0,0,0,0,0,0,0,1,0,0,0,0
나우루,M,2,0,0,0,0,0,0,0,1,1,0,0,0,0
나우루,F,1,0,0,0,0,0,0,0,0,1,0,0,0,0
키리바시,M,2,0,0,0,0,0,0,1,0,1,0,0,0,0
솔로몬군도,F,1,0,0,0,0,0,1,0,0,0,0,0,0,0
바누아투,M,1,0,0,0,0,0,0,0,0,0,0,0,0,1
아프리카주계,M,"2,814",44,31,24,40,250,511,429,349,365,342,228,97,104
아프리카주계,F,535,35,32,18,21,60,90,66,45,40,38,23,34,33
이집트,M,"1,048",4,5,2,19,132,336,218,150,84,42,27,7,22
이집트,F,70,12,7,1,3,7,19,8,4,2,2,1,2,2
나이지리아,M,376,7,5,2,1,6,10,20,34,77,100,78,24,12
나이지리아,F,52,5,3,2,4,2,2,3,5,5,7,3,8,3
가나,M,300,4,0,0,3,0,11,28,47,54,81,39,22,11
가나,F,15,1,1,0,0,0,1,1,0,4,3,2,2,0
남아프리카공화국,M,179,3,1,4,4,23,25,22,10,25,18,19,8,17
남아프리카공화국,F,113,2,5,3,4,12,22,17,9,3,7,6,13,10
리비아,M,236,12,8,5,3,21,35,48,36,36,18,5,4,5
리비아,F,38,6,5,4,2,4,6,2,3,4,1,0,1,0
모로코,M,101,1,1,0,1,17,33,24,13,6,3,0,0,2
모로코,F,57,2,1,0,2,13,17,10,4,2,2,1,3,0
수단,M,80,0,1,3,1,11,14,14,8,4,4,12,6,2
수단,F,6,0,0,1,0,0,1,0,1,1,0,1,0,1
코트디부아르,M,53,3,2,2,0,2,0,0,2,7,9,11,5,10
코트디부아르,F,17,1,0,1,2,1,1,1,2,3,3,0,0,2
라이베리아,M,49,1,0,1,1,3,3,4,8,6,13,9,0,0
라이베리아,F,20,1,0,1,0,4,1,7,0,2,3,0,0,1
튀니지,M,45,2,3,0,0,4,13,14,3,2,2,1,1,0
튀니지,F,22,1,3,1,2,3,4,2,2,1,0,2,0,1
알제리,M,42,0,1,0,0,1,6,8,3,5,11,4,1,2
알제리,F,7,1,0,0,0,1,2,1,0,0,1,0,0,1
에티오피아,M,38,0,0,0,0,13,4,0,2,5,3,5,1,5
에티오피아,F,10,1,0,0,1,0,1,3,1,0,0,1,0,2
카메룬,M,30,1,0,0,1,0,2,3,5,5,9,1,2,1
카메룬,F,13,1,0,0,0,2,2,0,3,1,0,1,2,1
케냐,M,20,1,0,0,2,4,3,1,5,0,1,2,0,1
케냐,F,21,0,4,1,0,4,4,2,2,1,2,0,0,1
우간다,M,26,0,0,0,0,0,5,6,5,6,1,3,0,0
우간다,F,12,0,0,0,1,0,1,3,1,0,3,2,1,0
세네갈,M,24,2,1,0,0,0,1,6,3,4,1,2,3,1
세네갈,F,5,0,1,1,0,0,1,1,0,1,0,0,0,0
짐바브웨,M,22,1,1,0,1,0,0,0,0,11,5,2,1,0
짐바브웨,F,6,0,0,0,0,2,1,1,0,1,1,0,0,0
가봉,M,13,1,1,4,2,4,0,0,0,0,0,1,0,0
가봉,F,11,0,0,1,0,2,0,2,2,2,1,0,0,1
탄자니아,M,17,0,0,0,0,1,2,2,3,8,1,0,0,0
탄자니아,F,3,0,0,0,0,0,0,0,1,0,0,1,0,1
콩고,M,7,1,0,0,0,0,0,0,3,2,0,0,1,0
콩고,F,3,0,0,0,0,0,0,0,0,0,0,0,2,1
베냉,M,9,0,0,0,0,0,0,1,2,1,3,0,1,1
베냉,F,1,0,0,0,0,0,0,0,0,0,0,1,0,0
콩고민주공화국,M,7,0,1,0,0,0,1,1,0,3,1,0,0,0
콩고민주공화국,F,2,0,0,0,0,0,0,0,1,1,0,0,0,0
말리,M,8,0,0,0,0,0,0,0,1,2,1,1,0,3
말리,F,1,0,0,0,0,0,0,0,0,1,0,0,0,0
앙골라,M,7,0,0,0,0,1,0,0,1,2,1,0,1,1
앙골라,F,1,0,0,0,0,0,0,0,0,0,0,0,0,1
기니,M,8,0,0,0,0,1,0,1,0,2,1,1,1,1
모리셔스,M,6,0,0,0,0,0,0,3,2,0,0,1,0,0
모리셔스,F,2,0,0,0,0,0,0,0,1,0,0,0,0,1
자이르,M,5,0,0,0,0,0,0,0,0,1,3,1,0,0
자이르,F,2,0,0,0,0,0,0,0,0,0,1,0,0,1
부룬디,M,1,0,0,0,0,0,0,1,0,0,0,0,0,0
부룬디,F,5,1,0,0,0,1,1,0,2,0,0,0,0,0
마다가스카르,M,2,0,0,0,0,1,1,0,0,0,0,0,0,0
마다가스카르,F,4,0,1,0,0,0,2,0,0,0,0,0,0,1
토고,M,4,0,0,0,0,0,0,0,0,0,1,1,0,2
토고,F,2,0,0,0,0,0,0,0,0,2,0,0,0,0
부르키나파소,M,6,0,0,0,0,0,0,0,1,2,2,0,0,1
모잠비크,M,5,0,0,0,0,2,1,0,0,0,1,0,0,1
중앙아프리카공화국,M,2,0,0,0,0,0,0,0,0,0,1,0,1,0
중앙아프리카공화국,F,2,0,0,0,0,1,0,0,0,0,0,1,0,0
말라위,M,3,0,0,0,0,0,0,0,0,0,1,0,2,0
말라위,F,1,0,0,1,0,0,0,0,0,0,0,0,0,0
모리타니,M,3,0,0,0,0,0,1,0,0,0,0,0,0,2
모리타니,F,1,0,0,0,0,0,0,0,0,0,0,0,0,1
스와질란드,M,4,0,0,0,1,0,1,0,0,0,1,0,0,1
잠비아,M,3,0,0,0,0,0,0,2,0,1,0,0,0,0
잠비아,F,1,0,0,0,0,0,0,0,0,1,0,0,0,0
보츠와나,M,2,0,0,0,0,0,1,0,1,0,0,0,0,0
보츠와나,F,1,0,1,0,0,0,0,0,0,0,0,0,0,0
코모로,M,1,0,0,0,0,0,0,0,0,0,1,0,0,0
코모로,F,2,0,0,0,0,0,1,1,0,0,0,0,0,0
적도기니,M,2,0,0,0,0,0,0,0,0,0,0,0,2,0
적도기니,F,1,0,0,0,0,0,0,0,0,1,0,0,0,0
감비아,M,3,0,0,0,0,0,0,0,0,2,1,0,0,0
시에라리온,M,3,0,0,0,0,0,0,1,0,1,1,0,0,0
